"Time","Diffus"
2024-07-14 18:05:00,28.8 W/m²
2024-07-14 18:10:00,26.5 W/m²
2024-07-14 18:15:00,24.6 W/m²
2024-07-14 18:20:00,22.1 W/m²
2024-07-14 18:25:00,19.3 W/m²
2024-07-14 18:30:00,16.7 W/m²
2024-07-14 18:35:00,13.6 W/m²
2024-07-14 18:40:00,10.7 W/m²
2024-07-14 18:45:00,7.73 W/m²
2024-07-14 18:50:00,4.58 W/m²
2024-07-14 18:55:00,2.41 W/m²
2024-07-14 19:00:00,1.18 W/m²
2024-07-14 19:05:00,-227 mW/m²
2024-07-14 19:10:00,-1.34 W/m²
2024-07-14 19:15:00,-1.85 W/m²
2024-07-14 19:20:00,-2.49 W/m²
2024-07-14 19:25:00,-2.43 W/m²
2024-07-14 19:30:00,-2.40 W/m²
2024-07-14 19:35:00,-2.46 W/m²
2024-07-14 19:40:00,-2.90 W/m²
2024-07-14 19:45:00,-2.85 W/m²
2024-07-14 19:50:00,-3.30 W/m²
2024-07-14 19:55:00,-3.04 W/m²
2024-07-14 20:00:00,-3.28 W/m²
2024-07-14 20:05:00,-3.10 W/m²
2024-07-14 20:10:00,-3.19 W/m²
2024-07-14 20:15:00,-3.20 W/m²
2024-07-14 20:20:00,-2.81 W/m²
2024-07-14 20:25:00,-3.14 W/m²
2024-07-14 20:30:00,-3.06 W/m²
2024-07-14 20:35:00,-3.10 W/m²
2024-07-14 20:40:00,-3.04 W/m²
2024-07-14 20:45:00,-2.78 W/m²
2024-07-14 20:50:00,-2.91 W/m²
2024-07-14 20:55:00,-2.49 W/m²
2024-07-14 21:00:00,-2.73 W/m²
2024-07-14 21:05:00,-2.91 W/m²
2024-07-14 21:10:00,-2.55 W/m²
2024-07-14 21:15:00,-2.73 W/m²
2024-07-14 21:20:00,-2.61 W/m²
2024-07-14 21:25:00,-2.63 W/m²
2024-07-14 21:30:00,-2.52 W/m²
2024-07-14 21:35:00,-2.44 W/m²
2024-07-14 21:40:00,-2.49 W/m²
2024-07-14 21:45:00,-2.68 W/m²
2024-07-14 21:50:00,-2.62 W/m²
2024-07-14 21:55:00,-2.63 W/m²
2024-07-14 22:00:00,-3.29 W/m²
2024-07-14 22:05:00,-2.33 W/m²
2024-07-14 22:10:00,-2.57 W/m²
2024-07-14 22:15:00,-2.90 W/m²
2024-07-14 22:20:00,-3.81 W/m²
2024-07-14 22:25:00,-2.20 W/m²
2024-07-14 22:30:00,-2.58 W/m²
2024-07-14 22:35:00,-2.39 W/m²
2024-07-14 22:40:00,-2.46 W/m²
2024-07-14 22:45:00,-2.19 W/m²
2024-07-14 22:50:00,-2.46 W/m²
2024-07-14 22:55:00,-3.11 W/m²
2024-07-14 23:00:00,-2.42 W/m²
2024-07-14 23:05:00,-2.10 W/m²
2024-07-14 23:10:00,-2.90 W/m²
2024-07-14 23:15:00,-1.99 W/m²
2024-07-14 23:20:00,-2.12 W/m²
2024-07-14 23:25:00,-1.67 W/m²
2024-07-14 23:30:00,-1.52 W/m²
2024-07-14 23:35:00,-2.22 W/m²
2024-07-14 23:40:00,-2.12 W/m²
2024-07-14 23:45:00,-1.73 W/m²
2024-07-14 23:50:00,-1.51 W/m²
2024-07-14 23:55:00,-2.12 W/m²
